Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,growth
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,39737.32519,41254.40459,0.038177693
Czech Republic,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,41127.25405,43004.52847,0.045645508
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,54954.84675,55891.20361,0.017038658
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5341.103794,5779.675765,0.08211261
Dominica,DMA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11818.22608,12444.44114,0.05298723
Denmark,DNK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,57462.77601,60334.80863,0.04998075
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18143.22448,19227.7156,0.059773891
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11925.79856,12019.92836,0.007892956
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14060.24819,15054.77888,0.070733509
Early-demographic dividend,EAR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9409.499965,9693.772411,0.030211217
East Asia & Pacific,EAS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17429.94956,18400.41312,0.055677933
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22224.71761,22573.80419,0.015707132
Europe & Central Asia,ECS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,35684.48294,36790.00554,0.030980485
Ecuador,ECU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11843.39364,11878.71836,0.002982652
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11643.2205,12283.80737,0.055018014
Euro area,EMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,47551.78994,49207.8347,0.034826129
Eritrea,ERI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Spain,ESP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,40720.1908,42185.58612,0.035986946
Estonia,EST,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,36326.79823,38819.33903,0.068614382
