Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,growth
Sweden,SWE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,53553.31245,55027.36731,0.027524999
Eswatini,SWZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8728.79178,9003.364231,0.031455952
Sint Maarten (Dutch part),SXM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,36203.04099,,
Seychelles,SYC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,28678.77243,30516.67726,0.064085896
Syrian Arab Republic,SYR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Turks and Caicos Islands,TCA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,28848.42037,30547.91252,0.058911099
Chad,TCD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1614.717823,1649.529172,0.021558782
East Asia & Pacific (IDA & IBRD countries),TEA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14208.06884,15212.80184,0.070715662
Europe & Central Asia (IDA & IBRD countries),TEC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,23386.20795,24008.59183,0.026613288
Togo,TGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1590.686226,1667.300515,0.0481643
Thailand,THA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18527.09538,19276.89633,0.040470507
Tajikistan,TJK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3313.519458,3529.311126,0.065124612
Turkmenistan,TKM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15206.96193,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16489.37014,16839.74357,0.021248442
Timor-Leste,TLS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3126.014207,3709.81127,0.18675445
Middle East & North Africa (IDA & IBRD countries),TMN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11109.1352,11179.25758,0.006312137
Tonga,TON,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6572.705516,6665.749949,0.014156185
South Asia (IDA & IBRD),TSA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6195.761491,6499.957528,0.049097441
Sub-Saharan Africa (IDA & IBRD countries),TSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3849.086623,3926.788815,0.020187177
Trinidad and Tobago,TTO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,26912.91695,27334.18398,0.015652968
Tunisia,TUN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11025.99161,11231.57102,0.018644982
Turkey,TUR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27949.86895,27318.42988,-0.022591844
Tuvalu,TUV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4043.767757,4470.857688,0.10561683
Tanzania,TZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2651.091047,2770.681172,0.045109777
Uganda,UGA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2173.958819,2284.265736,0.050740113
Ukraine,UKR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12629.14166,13341.21052,0.056382997
Upper middle income,UMC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16687.06412,17455.91345,0.046074572
Uruguay,URY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22116.7866,22515.19359,0.018013783
United States,USA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,62996.47129,65297.51751,0.036526589
Uzbekistan,UZB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6920.044618,7308.480745,0.056132026
St. Vincent and the Grenadines,VCT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12770.09827,13037.68109,0.020953858
"Venezuela, RB",VEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
British Virgin Islands,VGB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Virgin Islands (U.S.),VIR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Vietnam,VNM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7771.18942,8397.021042,0.080532283
Vanuatu,VUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3204.679541,3292.544065,0.027417569
World,WLD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17038.92042,17633.47488,0.034893904
Samoa,WSM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6474.2538,6795.684073,0.049647463
Kosovo,XKX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11160.69533,11906.43231,0.066818147
"Yemen, Rep.",YEM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
South Africa,ZAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12935.54516,13034.16533,0.007623967
Zambia,ZMB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3607.304442,3624.024939,0.004635178
Zimbabwe,ZWE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3206.277079,2961.446428,-0.076359792
,,,,,,
,,,,,,
,,,,,,
,,,,,,
